Mutation %,Fitness,Tournament,Elitism,Random
0,1817.232063,1449.012125,1426.134762,1467.367213
0.05,1711.366318,762.3811071,760.12251,1014.102481
0.1,1633.752643,776.2455034,756.3835797,999.4363045
0.15,1619.87762,751.3296031,729.443246,1163.699107
0.2,1586.695024,769.3037887,726.1809235,905.7271907
0.25,1530.260217,755.5347989,732.5058246,1305.09535
0.3,1535.398569,731.8703512,715.6157911,877.1673036
0.35,1556.40848,756.8467925,732.1393876,876.7396654
0.4,1505.761246,726.5083961,700.0035543,966.2665916
0.45,1534.802308,738.4450604,738.651231,975.0085421
0.5,1514.363694,713.7362459,745.6271061,1047.479871
0.55,1523.933855,721.4559399,732.3884053,1122.353946
0.6,1517.330125,690.3012922,716.7407624,928.937797
0.65,1495.234425,746.4760449,686.0261588,946.0450639
0.7,1473.231502,727.2802522,710.5077005,869.3612952
0.75,1501.482018,731.2582196,720.5738424,1020.620606
0.8,1496.00464,724.250029,701.1142932,1003.029366
0.85,1494.857116,723.043027,701.7257721,935.4448059
0.9,1463.327402,692.0521777,707.7584794,852.3158285
0.95,1479.536051,729.7272476,696.4236837,1027.451766
1,1458.757157,710.1126733,713.485523,931.2148193
